soc,ocv
0.0,2.9
0.001,2.915342
0.002,2.93043
0.003,2.945266
0.004,2.959852
0.005,2.974191
0.006,2.988286
0.007,3.002137
0.008,3.015748
0.009,3.02912
0.01,3.042257
0.011,3.055159
0.012,3.06783
0.013,3.080272
0.014,3.092487
0.015,3.104476
0.016,3.116244
0.017,3.127791
0.018,3.139119
0.019,3.150232
0.02,3.161132
0.021,3.17182
0.022,3.182299
0.023,3.192571
0.024,3.202638
0.025,3.212503
0.026,3.222168
0.027,3.231636
0.028,3.240907
0.029,3.249985
0.03,3.258872
0.031,3.267571
0.032,3.276082
0.033,3.284409
0.034,3.292555
0.035,3.30052
0.036,3.308307
0.037,3.31592
0.038,3.323359
0.039,3.330627
0.04,3.337726
0.041,3.344659
0.042,3.351428
0.043,3.358035
0.044,3.364483
0.045,3.370773
0.046,3.376908
0.047,3.38289
0.048,3.388721
0.049,3.394404
0.05,3.39994
0.051,3.405333
0.052,3.410584
0.053,3.415696
0.054,3.42067
0.055,3.42551
0.056,3.430217
0.057,3.434793
0.058,3.439241
0.059,3.443563
0.06,3.447762
0.061,3.451839
0.062,3.455797
0.063,3.459638
0.064,3.463364
0.065,3.466978
0.066,3.470482
0.067,3.473877
0.068,3.477167
0.069,3.480354
0.07,3.483439
0.071,3.486425
0.072,3.489314
0.073,3.492109
0.074,3.494812
0.075,3.497425
0.076,3.49995
0.077,3.502389
0.078,3.504746
0.079,3.507021
0.08,3.509218
0.081,3.511338
0.082,3.513383
0.083,3.515357
0.084,3.517261
0.085,3.519098
0.086,3.520869
0.087,3.522577
0.088,3.524224
0.089,3.525813
0.09,3.527346
0.091,3.528824
0.092,3.530251
0.093,3.531629
0.094,3.532958
0.095,3.534243
0.096,3.535486
0.097,3.536687
0.098,3.53785
0.099,3.538978
0.1,3.540071
0.101,3.541133
0.102,3.542165
0.103,3.543171
0.104,3.544152
0.105,3.54511
0.106,3.546047
0.107,3.546966
0.108,3.547866
0.109,3.548749
0.11,3.549616
0.111,3.550466
0.112,3.551302
0.113,3.552124
0.114,3.552933
0.115,3.553729
0.116,3.554514
0.117,3.555289
0.118,3.556054
0.119,3.55681
0.12,3.557558
0.121,3.558299
0.122,3.559033
0.123,3.559762
0.124,3.560487
0.125,3.561208
0.126,3.561925
0.127,3.562641
0.128,3.563356
0.129,3.564071
0.13,3.564785
0.131,3.565502
0.132,3.56622
0.133,3.566942
0.134,3.567668
0.135,3.568398
0.136,3.569134
0.137,3.569877
0.138,3.570627
0.139,3.571385
0.14,3.572153
0.141,3.57293
0.142,3.573718
0.143,3.574518
0.144,3.57533
0.145,3.576156
0.146,3.576996
0.147,3.57785
0.148,3.578721
0.149,3.579609
0.15,3.580514
0.151,3.581437
0.152,3.58238
0.153,3.583344
0.154,3.584328
0.155,3.585334
0.156,3.586363
0.157,3.587415
0.158,3.588492
0.159,3.589594
0.16,3.590721
0.161,3.591871
0.162,3.593045
0.163,3.594242
0.164,3.595462
0.165,3.596704
0.166,3.597967
0.167,3.599251
0.168,3.600555
0.169,3.601879
0.17,3.603222
0.171,3.604584
0.172,3.605964
0.173,3.607362
0.174,3.608777
0.175,3.610208
0.176,3.611655
0.177,3.613118
0.178,3.614596
0.179,3.616089
0.18,3.617595
0.181,3.619114
0.182,3.620647
0.183,3.622191
0.184,3.623747
0.185,3.625315
0.186,3.626893
0.187,3.628481
0.188,3.630079
0.189,3.631686
0.19,3.633301
0.191,3.634925
0.192,3.636555
0.193,3.638193
0.194,3.639837
0.195,3.641487
0.196,3.643142
0.197,3.644802
0.198,3.646466
0.199,3.648133
0.2,3.649804
0.201,3.651478
0.202,3.653153
0.203,3.65483
0.204,3.656508
0.205,3.658186
0.206,3.659865
0.207,3.661542
0.208,3.663219
0.209,3.664893
0.21,3.666566
0.211,3.668236
0.212,3.669902
0.213,3.671565
0.214,3.673225
0.215,3.674882
0.216,3.676535
0.217,3.678184
0.218,3.679829
0.219,3.68147
0.22,3.683107
0.221,3.68474
0.222,3.686368
0.223,3.687992
