t,i,v,soc,T
0.0,-1.3,3.896,0.775,26.3
10.0,-1.3,3.896,0.775,26.3
20.0,-1.4,3.896,0.775,26.3
30.0,-1.4,3.896,0.775,26.3
40.0,-1.1,3.896,0.775,26.3
50.0,-1.1,3.896,0.775,26.3
60.0,-1.2,3.896,0.775,26.3
70.0,-1.2,3.896,0.775,26.3
80.0,-1.2,3.896,0.775,26.3
90.0,-1.2,3.896,0.775,26.3
100.0,-1.1,3.896,0.775,26.3
110.0,-1.1,3.896,0.775,26.3
120.0,-1.1,3.896,0.773,26.2
130.0,-1.1,3.896,0.773,26.2
140.0,-1.2,3.896,0.773,26.2
150.0,-1.2,3.896,0.772,26.2
160.0,-1.2,3.896,0.772,26.2
170.0,-1.4,3.896,0.772,26.2
180.0,-1.5,3.896,0.772,26.2
190.0,-1.5,3.896,0.772,26.2
200.0,-1.2,3.896,0.772,26.2
210.0,-1.2,3.896,0.772,26.2
220.0,-1.2,3.896,0.772,26.2
230.0,-1.1,3.895,0.772,26.2
240.0,-1.2,3.895,0.772,26.2
250.0,-1.3,3.896,0.772,26.2
260.0,-1.1,3.896,0.772,26.2
270.0,-1.1,3.896,0.772,26.2
280.0,-1.1,3.896,0.772,26.2
290.0,-1.1,3.896,0.772,26.2
300.0,-1.2,3.895,0.772,26.2
310.0,-1.2,3.895,0.772,26.2
320.0,-1.2,3.896,0.772,26.2
330.0,-1.2,3.896,0.772,26.2
340.0,-1.2,3.895,0.772,26.2
350.0,-1.2,3.895,0.772,26.2
360.0,-1.2,3.895,0.772,26.2
370.0,-1.1,3.895,0.772,26.2
380.0,-1.2,3.895,0.772,26.2
390.0,-1.2,3.895,0.772,26.2
400.0,-1.2,3.895,0.772,26.2
410.0,-1.1,3.895,0.772,26.2
420.0,-1.1,3.895,0.772,26.2
430.0,-1.1,3.895,0.772,26.2
440.0,-1.1,3.895,0.772,26.2
450.0,-1.2,3.895,0.772,26.2
460.0,-1.2,3.895,0.772,26.2
470.0,-1.2,3.895,0.772,26.2
480.0,-1.2,3.895,0.772,26.2
490.0,-1.2,3.895,0.772,26.2
500.0,-1.2,3.895,0.772,26.2
510.0,-1.2,3.895,0.772,26.2
520.0,-1.1,3.895,0.772,26.2
530.0,-1.1,3.895,0.772,26.2
540.0,-1.2,3.895,0.772,26.2
550.0,-1.2,3.895,0.772,26.2
560.0,-1.2,3.895,0.772,26.2
570.0,-1.2,3.895,0.772,26.2
580.0,-1.2,3.895,0.772,26.2
590.0,-1.4,3.895,0.772,26.2
600.0,-1.6,3.895,0.772,26.2
610.0,-1.7,3.895,0.772,26.2
620.0,-1.7,3.895,0.772,26.2
630.0,-1.7,3.895,0.772,26.2
640.0,-1.6,3.895,0.772,26.2
650.0,-1.6,3.895,0.772,26.2
660.0,-1.7,3.894,0.772,26.2
670.0,-1.8,3.894,0.772,26.2
680.0,-1.8,3.894,0.772,26.2
690.0,-1.6,3.895,0.772,26.2
700.0,-1.6,3.894,0.772,26.2
710.0,-1.5,3.894,0.772,26.2
720.0,-1.5,3.894,0.772,26.2
